iter	Passed	Remaining
0	3	329
1	5	286
2	8	274
3	10	255
4	13	248
5	16	250
6	18	244
7	20	239
8	23	238
9	26	238
10	29	240
11	32	238
12	35	239
13	38	239
14	41	236
15	45	236
16	48	234
17	51	233
18	53	229
19	56	224
20	59	224
21	62	221
22	65	218
23	68	216
24	71	214
25	75	214
26	78	212
27	82	211
28	84	208
29	92	216
30	96	215
31	100	213
32	103	210
33	106	206
34	109	204
35	113	202
36	117	199
37	121	197
38	123	193
39	126	189
40	129	186
41	130	180
42	137	181
43	139	178
44	142	174
45	147	173
46	150	169
47	152	165
48	156	162
49	159	159
50	163	157
51	166	153
52	169	150
53	172	147
54	177	145
55	180	141
56	182	137
57	185	134
58	188	130
59	191	127
60	195	125
61	198	121
62	201	118
63	204	114
64	207	111
65	210	108
66	213	105
67	216	101
68	220	98
69	223	95
70	226	92
71	229	89
72	231	85
73	247	87
74	252	84
75	255	80
76	258	77
77	261	73
78	263	70
79	267	66
80	270	63
81	272	59
82	275	56
83	278	53
84	282	49
85	285	46
86	288	43
87	290	39
88	293	36
89	296	32
90	299	29
91	302	26
92	304	22
93	309	19
94	311	16
95	314	13
96	316	9
97	318	6
98	321	3
99	325	0
