iter	Passed	Remaining
0	153	153294
1	159	79362
2	164	54672
3	170	42359
4	175	34854
5	179	29709
6	184	26149
7	188	23413
8	193	21283
9	198	19663
10	203	18299
11	208	17157
12	214	16250
13	218	15398
14	223	14671
15	228	14073
16	233	13497
17	238	12993
18	243	12562
19	248	12157
20	252	11761
21	257	11459
22	261	11122
23	266	10830
24	270	10566
25	275	10324
26	279	10078
27	284	9863
28	289	9694
29	293	9498
30	298	9334
31	303	9190
32	308	9027
33	312	8877
34	318	8775
35	322	8630
36	326	8505
37	332	8407
38	336	8288
39	340	8174
40	345	8084
41	351	8015
42	355	7921
43	360	7822
44	365	7759
45	370	7678
46	374	7599
47	380	7549
48	385	7473
49	389	7409
50	394	7348
51	399	7281
52	405	7237
53	411	7216
54	416	7157
55	421	7111
56	427	7065
57	431	7011
58	436	6957
59	441	6915
60	445	6860
61	449	6806
62	454	6763
63	459	6721
64	463	6672
65	470	6664
66	475	6615
67	479	6571
68	484	6537
69	490	6517
70	494	6471
71	499	6436
72	504	6407
73	508	6368
74	514	6340
75	518	6306
76	523	6272
77	527	6236
78	532	6211
79	536	6172
80	540	6134
81	546	6116
82	548	6064
83	553	6032
84	558	6015
85	563	5991
86	567	5959
87	572	5933
88	577	5916
89	582	5885
90	586	5863
91	592	5850
92	597	5822
93	601	5795
94	606	5778
95	610	5752
96	615	5726
97	619	5705
98	624	5684
99	629	5662
100	633	5643
101	638	5623
102	643	5601
103	647	5577
104	652	5563
105	656	5540
106	663	5535
107	667	5515
108	672	5494
109	676	5473
110	681	5461
111	686	5441
112	690	5422
113	697	5419
114	701	5399
115	705	5380
116	710	5359
117	714	5339
118	718	5317
119	722	5297
120	726	5280
121	730	5259
122	735	5243
123	740	5233
124	744	5213
125	749	5197
126	753	5178
127	757	5162
128	762	5149
129	768	5141
130	773	5128
131	777	5113
132	783	5105
133	788	5096
134	794	5088
135	800	5084
136	804	5067
137	808	5053
138	813	5041
139	818	5028
140	822	5008
141	824	4980
142	828	4963
143	831	4945
144	834	4922
145	837	4900
146	840	4879
147	845	4865
148	848	4844
149	851	4823
150	854	4803
151	858	4788
152	861	4768
153	864	4746
154	866	4725
155	869	4705
156	873	4692
157	877	4673
158	880	4655
159	883	4636
160	885	4612
161	889	4599
162	892	4582
163	895	4564
164	898	4548
165	903	4539
166	907	4526
167	911	4515
168	916	4507
169	921	4501
170	926	4491
171	931	4484
172	937	4480
173	941	4468
174	945	4457
175	950	4448
176	954	4438
177	959	4428
178	963	4421
179	968	4411
180	973	4403
181	978	4397
182	982	4387
183	987	4378
184	991	4369
185	996	4359
186	1000	4349
187	1004	4339
188	1010	4334
189	1014	4325
190	1019	4316
191	1025	4314
192	1029	4305
193	1034	4296
194	1039	4292
195	1044	4284
196	1048	4275
197	1055	4276
198	1060	4267
199	1064	4257
200	1070	4255
201	1074	4245
202	1079	4239
203	1085	4235
204	1089	4226
205	1094	4217
206	1099	4210
207	1103	4202
208	1108	4193
209	1113	4187
210	1117	4177
211	1121	4167
212	1125	4158
213	1130	4152
214	1134	4143
215	1139	4135
216	1145	4132
217	1149	4122
218	1154	4116
219	1160	4114
220	1165	4109
221	1171	4105
222	1177	4102
223	1182	4096
224	1189	4096
225	1193	4088
226	1198	4082
227	1204	4079
228	1209	4071
229	1213	4063
230	1220	4061
231	1224	4053
232	1229	4046
233	1234	4040
234	1238	4031
235	1242	4022
236	1248	4018
237	1252	4010
238	1257	4002
239	1261	3994
240	1266	3988
241	1269	3977
242	1273	3967
243	1278	3959
244	1281	3949
245	1285	3939
246	1288	3927
247	1293	3922
248	1297	3914
249	1301	3905
250	1307	3900
251	1311	3893
252	1316	3887
253	1323	3885
254	1327	3878
255	1331	3870
256	1337	3866
257	1341	3858
258	1347	3855
259	1352	3848
260	1356	3840
261	1361	3835
262	1366	3829
263	1370	3821
264	1375	3813
265	1380	3810
266	1385	3803
267	1389	3794
268	1395	3792
269	1399	3784
270	1405	3779
271	1410	3775
272	1414	3768
273	1420	3762
274	1425	3757
275	1429	3751
276	1433	3740
277	1437	3732
278	1440	3722
279	1443	3711
280	1446	3700
281	1449	3691
282	1453	3683
283	1456	3672
284	1459	3661
285	1462	3650
286	1466	3643
287	1469	3633
288	1472	3623
289	1475	3612
290	1479	3604
291	1483	3596
292	1486	3586
293	1489	3576
294	1492	3566
295	1496	3560
296	1501	3553
297	1505	3546
298	1510	3540
299	1514	3534
300	1519	3527
301	1524	3522
302	1529	3518
303	1534	3512
304	1539	3508
305	1545	3505
306	1551	3501
307	1556	3497
308	1561	3491
309	1565	3484
310	1569	3478
311	1574	3471
312	1578	3464
313	1583	3458
314	1589	3455
315	1593	3448
316	1597	3442
317	1603	3438
318	1607	3432
319	1612	3426
320	1618	3423
321	1623	3417
322	1627	3410
323	1632	3406
324	1637	3400
325	1641	3393
326	1646	3388
327	1651	3382
328	1655	3376
329	1660	3371
330	1666	3368
331	1671	3362
332	1675	3355
333	1680	3351
334	1684	3344
335	1689	3337
336	1695	3334
337	1699	3328
338	1704	3322
339	1709	3318
340	1713	3312
341	1718	3305
342	1723	3300
343	1727	3293
344	1732	3288
345	1736	3282
346	1741	3276
347	1745	3269
348	1749	3263
349	1755	3260
350	1760	3254
351	1764	3248
352	1769	3244
353	1774	3237
354	1778	3230
355	1783	3226
356	1787	3219
357	1792	3213
358	1796	3208
359	1802	3203
360	1806	3197
361	1811	3191
362	1816	3186
363	1820	3180
364	1825	3175
365	1830	3170
366	1834	3164
367	1838	3157
368	1844	3153
369	1848	3147
370	1853	3143
371	1859	3138
372	1863	3132
373	1868	3127
374	1873	3123
375	1878	3117
376	1882	3110
377	1887	3106
378	1892	3100
379	1896	3094
380	1901	3089
381	1906	3084
382	1911	3078
383	1916	3074
384	1921	3068
385	1925	3062
386	1929	3056
387	1935	3052
388	1940	3047
389	1947	3046
390	1952	3040
391	1956	3035
392	1961	3030
393	1966	3023
394	1970	3017
395	1974	3011
396	1979	3007
397	1984	3001
